cityid_ppn,city,state_code,country_code,remove tag
800000464,Le Mars,IA,US,
800000465,Manchester,IA,US,
800000466,Maquoketa,IA,US,
800000467,Marengo,IA,US,
800000468,Marion,IA,US,
800000469,Maurice,IA,US,
800000470,Mc Gregor,IA,US,
800000471,Milford,IA,US,
800000472,Missouri Valley,IA,US,
800000473,Mount Vernon,IA,US,
800000474,Oelwein,IA,US,
800000475,Orange City,IA,US,
800000476,Ottumwa,IA,US,
800000478,Perry,IA,US,
800000479,Riverside,IA,US,
800000480,Saint Ansgar,IA,US,
800000481,Sergeant Bluff,IA,US,
800000482,Sheldon,IA,US,
800000483,Shenandoah,IA,US,
800000484,Sioux Center,IA,US,
800000485,Spencer,IA,US,
800000486,Spirit Lake,IA,US,
800000487,Story City,IA,US,
800000488,Stuart,IA,US,
800000489,Toledo,IA,US,
800000490,Walnut,IA,US,
800000491,Waukee,IA,US,
800000492,Waverly,IA,US,
800000493,Webster City,IA,US,
800000494,West Liberty,IA,US,
800000496,Williams,IA,US,
800000497,Williamsburg,IA,US,
800000500,Hayden,ID,US,
800000501,Heyburn,ID,US,
800000502,Lava Hot Springs,ID,US,
800000503,Mc Call,ID,US,
800000504,Orofino,ID,US,
800000505,Rigby,ID,US,
800000507,Wallace,ID,US,
800000508,White Bird,ID,US,
800000509,Altamont,IL,US,
800000510,Amf Ohare,IL,US,
800000511,Arcola,IL,US,
800000512,Atlanta,IL,US,
800000513,Bartlett,IL,US,
800000514,Batavia,IL,US,
800000515,Belleville,IL,US,
800000516,Berwyn,IL,US,
800000517,Bethalto,IL,US,
800000518,Blue Island,IL,US,
800000519,Bradley,IL,US,
800000522,Canton,IL,US,
800000523,Carlinville,IL,US,
800000524,Carlyle,IL,US,
800000525,Casey,IL,US,
800000526,Caseyville,IL,US,
800000527,Centralia,IL,US,
800000528,Chester,IL,US,
800000529,Chillicothe,IL,US,
800000530,Christopher,IL,US,
800000531,Cicero,IL,US,
800000532,Clarendon Hills,IL,US,
800000533,Coal City,IL,US,
800000534,Coal Valley,IL,US,
800000535,Dixon,IL,US,
800000536,Dolton,IL,US,
800000537,West Dundee,IL,US,
800000538,Dunlap,IL,US,
800000539,East Moline,IL,US,
